store_id,item_id,wm_yr_wk,sell_price
CA_1,FOODS_1_001,2023-01-07,4.77
CA_1,FOODS_1_001,2023-01-14,4.82
CA_1,FOODS_1_001,2023-01-21,4.96
CA_1,FOODS_1_001,2023-01-28,4.72
CA_1,FOODS_1_001,2023-02-04,5.16
CA_1,FOODS_1_001,2023-02-11,5.01
CA_1,FOODS_1_001,2023-02-18,5.18
CA_1,FOODS_1_001,2023-02-25,4.91
CA_1,FOODS_1_001,2023-03-04,4.95
CA_1,FOODS_1_001,2023-03-11,4.93
CA_1,FOODS_1_001,2023-03-18,5.13
CA_1,FOODS_1_001,2023-03-25,5.11
CA_1,FOODS_1_001,2023-04-01,5.05
CA_1,FOODS_1_001,2023-04-08,4.97
CA_1,FOODS_1_001,2023-04-15,4.93
CA_1,FOODS_1_001,2023-04-22,5.08
CA_1,FOODS_1_001,2023-04-29,5.01
CA_1,FOODS_1_001,2023-05-06,4.96
CA_1,FOODS_1_001,2023-05-13,5.22
CA_1,FOODS_1_001,2023-05-20,4.98
CA_1,FOODS_1_001,2023-05-27,5.12
CA_1,FOODS_1_001,2023-06-03,4.86
CA_1,FOODS_1_001,2023-06-10,4.92
CA_1,FOODS_1_001,2023-06-17,4.85
CA_1,FOODS_1_001,2023-06-24,4.61
CA_1,FOODS_1_001,2023-07-01,4.94
CA_1,FOODS_1_001,2023-07-08,4.72
CA_1,FOODS_1_001,2023-07-15,4.78
CA_1,FOODS_1_001,2023-07-22,4.57
CA_1,FOODS_1_001,2023-07-29,4.6
CA_1,FOODS_1_001,2023-08-05,4.49
CA_1,FOODS_1_001,2023-08-12,4.69
CA_1,FOODS_1_001,2023-08-19,4.56
CA_1,FOODS_1_001,2023-08-26,4.54
CA_1,FOODS_1_001,2023-09-02,4.63
CA_1,FOODS_1_001,2023-09-09,4.59
CA_1,FOODS_1_001,2023-09-16,4.53
CA_1,FOODS_1_001,2023-09-23,4.28
CA_1,FOODS_1_001,2023-09-30,4.36
CA_1,FOODS_1_001,2023-10-07,4.33
CA_1,FOODS_1_001,2023-10-14,4.53
CA_1,FOODS_1_001,2023-10-21,4.48
CA_1,FOODS_1_001,2023-10-28,4.32
CA_1,FOODS_1_001,2023-11-04,4.47
CA_1,FOODS_1_001,2023-11-11,4.35
CA_1,FOODS_1_001,2023-11-18,4.54
CA_1,FOODS_1_001,2023-11-25,4.39
CA_1,FOODS_1_001,2023-12-02,4.67
CA_1,FOODS_1_001,2023-12-09,4.69
CA_1,FOODS_1_001,2023-12-16,4.91
CA_1,FOODS_1_001,2023-12-23,4.82
CA_1,FOODS_1_001,2023-12-30,4.71
CA_1,FOODS_1_001,2024-01-06,4.9
CA_1,FOODS_1_001,2024-01-13,4.68
CA_1,FOODS_1_001,2024-01-20,4.77
